                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.20709,                 7.5508,                0.06891,                      0,                      0,                      0,                      0,                0.82904,                 12.487,                0.21894,                0.00048,                0.00048,                0.00048
                      2,                 0.4741,                 7.6311,                0.12177,                      0,                      0,                      0,                      0,                0.82904,                 12.487,                0.21894,             0.00097903,             0.00097903,             0.00097903
                      3,                 0.8005,                 7.8487,                0.19625,                      0,                      0,                      0,                      0,                 1.8963,                 12.913,                0.41585,              0.0014771,              0.0014771,              0.0014771
                      4,                 1.0074,                 7.8921,                 0.2357,                      0,                      0,                      0,                      0,                 1.8963,                 12.913,                0.41585,              0.0019741,              0.0019741,              0.0019741
                      5,                 1.6669,                  8.516,                 0.3985,                      0,                      0,                      0,                      0,                 1.9568,                 14.025,                0.50543,              0.0019921,              0.0019921,              0.0019921
                      6,                 1.4286,                 7.9978,                0.40799,                      0,                      0,                      0,                      0,                 1.9568,                 14.025,                0.50543,              0.0019901,              0.0019901,              0.0019901
                      7,                0.62858,                 7.3434,                0.17001,                      0,                      0,                      0,                      0,                 1.9568,                 14.025,                0.50543,              0.0019881,              0.0019881,              0.0019881
                      8,                 1.5178,                 7.6802,                 0.4358,                      0,                      0,                      0,                      0,                 2.0528,                 14.496,                0.58205,              0.0019861,              0.0019861,              0.0019861
                      9,                 1.8625,                 7.6384,                0.53407,                      0,                      0,                      0,                      0,                 2.0528,                 14.496,                0.58205,              0.0019842,              0.0019842,              0.0019842
                     10,                 1.1355,                 7.4718,                0.33096,                      0,                      0,                      0,                      0,                 2.0528,                 14.496,                0.58205,              0.0019822,              0.0019822,              0.0019822
                     11,                 1.8697,                 7.6294,                0.56016,                      0,                      0,                      0,                      0,                 1.9619,                 10.673,                0.55374,              0.0019802,              0.0019802,              0.0019802
