                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.43176,                  47.23,                0.15868,                      0,                      0,                      0,                      0,                 1.1555,                 77.785,                0.40632,                  6e-05,                  6e-05,                  6e-05
                      2,                0.93966,                 47.036,                0.43789,                      0,                      0,                      0,                      0,                 1.6986,                 78.373,                0.53196,             0.00013861,             0.00013861,             0.00013861
                      3,                 1.6256,                 46.217,                 0.5493,                      0,                      0,                      0,                      0,                 3.9781,                 67.825,                 1.2172,             0.00021564,             0.00021564,             0.00021564
                      4,                 1.7485,                 45.171,                0.46596,                      0,                      0,                      0,                      0,                 4.3159,                 46.722,                 1.2319,             0.00029109,             0.00029109,             0.00029109
                      5,                 4.9249,                 39.315,                 1.3287,                      0,                      0,                      0,                      0,                 5.3959,                 33.946,                 1.2113,             0.00036495,             0.00036495,             0.00036495
                      6,                 4.6756,                 25.591,                 1.2051,                      0,                      0,                      0,                      0,                 4.7112,                 25.399,                 1.0641,             0.00043723,             0.00043723,             0.00043723
                      7,                 5.3329,                 20.372,                 1.1685,                      0,                      0,                      0,                      0,                 4.8147,                 25.501,                 1.0317,             0.00050792,             0.00050792,             0.00050792
                      8,                 4.4309,                 14.167,                 1.0312,                      0,                      0,                      0,                      0,                   4.89,                 29.971,                 1.0878,             0.00057703,             0.00057703,             0.00057703
                      9,                 3.3784,                 14.833,                0.81135,                      0,                      0,                      0,                      0,                 4.7381,                 34.246,                 1.1266,             0.00064456,             0.00064456,             0.00064456
                     10,                 3.9161,                 15.695,                0.99268,                      0,                      0,                      0,                      0,                 4.5925,                 34.528,                 1.1556,              0.0007105,              0.0007105,              0.0007105
                     11,                 4.1325,                 16.089,                 1.0727,                      0,                      0,                      0,                      0,                 4.6246,                 31.089,                 1.2001,             0.00077486,             0.00077486,             0.00077486
                     12,                 3.8728,                 15.758,                0.90785,                      0,                      0,                      0,                      0,                 4.7107,                 30.945,                 1.2135,             0.00083763,             0.00083763,             0.00083763
                     13,                 4.2337,                 11.195,                 1.0593,                      0,                      0,                      0,                      0,                 4.7957,                 30.549,                 1.2087,             0.00089882,             0.00089882,             0.00089882
                     14,                 4.6132,                 14.725,                 1.1128,                0.00027,                0.02151,                0.00014,                  4e-05,                 4.4531,                  23.87,                  1.087,             0.00095843,             0.00095843,             0.00095843
                     15,                 3.3101,                 10.316,                0.80844,                 0.0004,                0.03226,                0.00021,                  5e-05,                 3.9143,                 19.824,                0.99218,              0.0010165,              0.0010165,              0.0010165
                     16,                  4.322,                 8.6418,                 1.0804,                 0.0004,                0.03226,                0.00021,                  5e-05,                 3.9143,                 19.824,                0.99218,              0.0010729,              0.0010729,              0.0010729
                     17,                 4.4141,                 10.092,                 1.0188,                 0.0012,                0.09677,                0.00076,                 0.0002,                 3.8882,                 17.345,                 0.9535,              0.0011277,              0.0011277,              0.0011277
                     18,                 4.2953,                 9.9319,                0.96764,                0.00133,                0.10753,                0.00173,                0.00061,                 3.5885,                 18.553,                0.93024,               0.001181,               0.001181,               0.001181
                     19,                 3.4314,                  9.488,                0.88164,                0.00133,                0.10753,                0.00173,                0.00061,                 3.5885,                 18.553,                0.93024,              0.0012327,              0.0012327,              0.0012327
